City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
290,Balabac,overcast clouds,82.8,7.9868,117.0645,Sing and Swing Lodge
292,Ormara,clear sky,72.88,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
295,Le Port,clear sky,80.6,-20.9373,55.2919,Villa Maido
296,Loandjili,few clouds,78.8,-4.7561,11.8578,Résidence ARCHANGE
298,Flinders,light rain,73.99,-34.5833,150.8552,Shellharbour Resort & Conference Centre
299,Amli,few clouds,81.68,20.2833,73.0167,Hotel Soubhagya Inn
300,Te Anau,clear sky,73.15,-45.4167,167.7167,Kingsgate Hotel Te Anau
301,Lamu,mist,75.2,-2.2717,40.902,Lamu House
302,Bubaque,broken clouds,77.79,11.2833,-15.8333,"Casa Dora, Bubaque"
303,Banda Aceh,few clouds,84.88,5.5577,95.3222,Sulthan Hotel International
304,Naliya,clear sky,76.71,23.2667,68.8333,Hotel Panchvati
308,Samarai,overcast clouds,84.16,-10.6167,150.6667,Nuli Sapi
309,Luanda,broken clouds,78.8,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
311,Quatre Cocos,broken clouds,86.0,-20.2078,57.7625,Emeraude Beach Attitude Hotel
313,Cockburn Town,scattered clouds,77.85,21.4612,-71.1419,Osprey Beach Hotel
317,Santa Rosa,scattered clouds,87.01,14.3122,121.1114,Erlyn’s Sta Rosa City Home
320,Varangaon,clear sky,75.34,21.0167,75.9,Pramod Tawade
323,Diebougou,scattered clouds,75.96,10.9667,-3.25,Hotel Le Consulat
325,Wanning,broken clouds,71.31,18.8003,110.3967,Paradise Hotel
327,Alyangula,light rain,84.2,-13.8483,136.4192,Groote Eylandt Lodge
333,Mahebourg,broken clouds,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
335,Sao Joao Da Barra,overcast clouds,77.36,-21.6403,-41.0511,Pousada Porto De Canoas
337,Padang,few clouds,82.4,-0.9492,100.3543,Mercure Padang
341,Panaba,broken clouds,73.11,21.2833,-88.2667,Posada rosario
345,Florestopolis,clear sky,73.4,-22.8633,-51.3872,Rancho Caíque
349,Mayor Pablo Lagerenza,clear sky,72.82,-19.9309,-60.7718,
353,Farafangana,broken clouds,78.39,-22.8167,47.8333,Miarina
354,Yarada,haze,78.8,17.65,83.2667,Jeevan
356,Yeppoon,light rain,89.6,-23.1333,150.7333,Villa Mar Colina
