City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Isangel,broken clouds,2021-02-18 03:59:22,-19.55,169.2667,89.6,66,75,7.16
152,Kaitangata,clear sky,2021-02-18 03:59:22,-46.2817,169.8464,64.0,70,9,10.0
153,Valley,overcast clouds,2021-02-18 04:08:28,45.1277,-116.1262,21.2,79,90,3.44
154,General Cepeda,clear sky,2021-02-18 04:08:28,25.3833,-101.45,42.8,56,1,13.8
155,Salinopolis,overcast clouds,2021-02-18 04:08:29,-0.6136,-47.3561,77.32,88,100,10.98
156,Tema,few clouds,2021-02-18 04:08:29,5.667,-0.0166,80.6,94,20,9.22
157,Muroto,scattered clouds,2021-02-18 04:08:29,33.2833,134.15,41.0,38,40,11.5
158,Natal,few clouds,2021-02-18 03:58:45,-5.795,-35.2094,78.8,78,20,5.75
159,Halifax,broken clouds,2021-02-18 04:08:29,44.6453,-63.5724,21.99,74,55,4.0
160,Saint-Francois,clear sky,2021-02-18 04:08:29,46.4154,3.9054,35.6,87,0,3.44
161,Nagato,light snow,2021-02-18 04:08:29,34.3833,131.2,37.99,69,75,16.11
162,Cherskiy,clear sky,2021-02-18 03:59:22,68.75,161.3,-23.58,85,0,1.45
163,Maracaju,clear sky,2021-02-18 04:08:29,-21.6144,-55.1683,66.99,86,0,3.15
164,Pochutla,scattered clouds,2021-02-18 03:59:20,15.7432,-96.4661,73.0,83,27,3.71
165,Sao Filipe,overcast clouds,2021-02-18 03:59:27,14.8961,-24.4956,71.24,64,100,11.03
166,Beloha,overcast clouds,2021-02-18 03:59:39,-25.1667,45.05,77.13,78,100,5.77
167,Barrow,overcast clouds,2021-02-18 03:59:09,71.2906,-156.7887,-18.4,69,90,11.5
168,Priiskovyy,scattered clouds,2021-02-18 04:08:30,51.9333,116.6333,18.79,93,28,7.09
169,Port Hedland,few clouds,2021-02-18 03:59:20,-20.3167,118.5667,93.2,59,16,16.11
170,Port Lincoln,clear sky,2021-02-18 03:59:28,-34.7333,135.8667,84.54,36,0,21.56
171,Berezovyy,broken clouds,2021-02-18 04:08:30,51.6667,135.7,16.84,87,53,2.51
172,Warrington,broken clouds,2021-02-18 04:08:30,53.3925,-2.5802,51.8,76,75,17.27
173,Kapaa,light rain,2021-02-18 03:59:16,22.0752,-159.319,75.2,73,1,18.41
174,Sayyan,clear sky,2021-02-18 03:59:40,15.1718,44.3244,54.81,52,0,2.3
175,Nyurba,overcast clouds,2021-02-18 03:59:45,63.2842,118.3319,-16.26,87,100,4.52
176,East London,clear sky,2021-02-18 03:59:20,-33.0153,27.9116,62.6,94,0,8.05
177,Gisborne,scattered clouds,2021-02-18 04:08:30,-38.6533,178.0042,64.99,59,32,4.0
178,Port Blair,mist,2021-02-18 04:08:30,11.6667,92.75,84.2,79,40,11.5
179,Dingle,scattered clouds,2021-02-18 03:59:47,10.9995,122.6711,80.6,68,42,18.84
180,Ust-Kuyga,overcast clouds,2021-02-18 04:08:31,70.0167,135.6,-21.32,83,100,1.74
181,Dalbandin,clear sky,2021-02-18 04:08:31,28.8947,64.4101,64.62,19,0,3.15
182,Yumen,clear sky,2021-02-18 03:59:52,40.2833,97.2,44.71,44,0,15.23
183,Suntar,overcast clouds,2021-02-18 04:08:31,62.1444,117.6319,-8.66,88,97,2.98
184,Kutum,clear sky,2021-02-18 04:08:31,14.2,24.6667,43.83,51,0,13.96
185,Atar,overcast clouds,2021-02-18 03:59:37,20.5169,-13.0499,61.0,29,99,3.76
186,Margate,overcast clouds,2021-02-18 03:59:29,51.3813,1.3862,48.99,74,93,8.01
187,Cap Malheureux,overcast clouds,2021-02-18 04:08:31,-19.9842,57.6142,86.0,74,100,1.99
188,Hamilton,light snow,2021-02-18 03:58:45,39.1834,-84.5333,21.99,73,90,5.75
189,Kruisfontein,clear sky,2021-02-18 03:59:37,-34.0033,24.7314,57.99,89,0,1.01
190,Vestmannaeyjar,scattered clouds,2021-02-18 03:59:20,63.4427,-20.2734,39.2,87,40,14.97
191,Genhe,overcast clouds,2021-02-18 04:08:32,50.7833,121.5167,4.03,90,100,6.58
192,Okakarara,scattered clouds,2021-02-18 04:08:32,-20.5833,17.4333,64.26,50,40,3.2
193,San Miguel,scattered clouds,2021-02-18 04:08:32,13.4833,-88.1833,73.56,81,39,2.44
194,Farmington,clear sky,2021-02-18 04:03:39,36.7281,-108.2187,26.6,74,1,4.61
195,Morayfield,broken clouds,2021-02-18 04:08:32,-27.1167,152.95,77.0,85,54,5.99
196,Salalah,few clouds,2021-02-18 03:59:25,17.0151,54.0924,71.6,73,20,5.75
197,Kavieng,light rain,2021-02-18 03:59:45,-2.5744,150.7967,84.88,69,72,7.16
198,Sioux Lookout,clear sky,2021-02-18 03:59:42,50.1001,-91.917,-7.6,77,1,2.3
199,Grobina,clear sky,2021-02-18 04:08:32,56.5352,21.1678,1.4,92,4,3.44
200,Anadyr,scattered clouds,2021-02-18 03:56:42,64.75,177.4833,-23.8,76,40,11.18
201,Fortuna,clear sky,2021-02-18 03:59:03,40.5982,-124.1573,46.0,87,1,2.64
202,Melfi,clear sky,2021-02-18 04:08:33,40.9965,15.6514,34.0,92,5,1.01
203,Campbell River,broken clouds,2021-02-18 04:08:20,50.0163,-125.2446,33.01,100,75,2.3
204,Ostrovnoy,overcast clouds,2021-02-18 03:59:24,68.0531,39.5131,10.33,90,100,15.26
205,San Patricio,overcast clouds,2021-02-18 03:59:34,28.017,-97.5169,37.4,87,90,19.57
206,Rochegda,broken clouds,2021-02-18 04:08:33,62.8,43.25,-18.78,87,82,3.85
207,Chocope,clear sky,2021-02-18 04:08:33,-7.7914,-79.2217,73.29,72,0,6.53
208,Narsaq,few clouds,2021-02-18 03:59:27,60.9167,-46.05,14.0,48,20,1.14
209,San Quintin,clear sky,2021-02-18 03:59:52,30.4833,-115.95,56.32,74,0,10.29
210,Formosa,clear sky,2021-02-18 04:08:33,-26.1775,-58.1781,71.6,88,0,3.44
211,Bagdarin,few clouds,2021-02-18 04:08:33,54.4333,113.6,21.45,83,17,6.93
212,Georgetown,few clouds,2021-02-18 03:59:17,5.4112,100.3354,87.8,37,20,16.11
213,Trenggalek,overcast clouds,2021-02-18 04:08:34,-8.05,111.7167,88.18,55,87,4.68
214,Severo-Kurilsk,light snow,2021-02-18 03:59:07,50.6789,156.125,30.78,93,99,14.54
215,Bengkulu,light rain,2021-02-18 03:59:22,-3.8004,102.2655,86.07,59,57,4.45
216,Kuloy,scattered clouds,2021-02-18 04:08:34,61.0305,42.4925,-19.48,88,50,2.21
217,Yakeshi,overcast clouds,2021-02-18 04:08:34,49.2833,120.7333,9.14,94,100,16.02
218,Arkhara,few clouds,2021-02-18 04:08:34,49.4212,130.0842,3.47,90,24,3.04
219,Henties Bay,clear sky,2021-02-18 03:59:42,-22.116,14.2845,62.01,91,0,6.55
220,Baykit,overcast clouds,2021-02-18 04:08:34,61.67,96.37,-6.07,85,100,4.74
221,Pevek,clear sky,2021-02-18 03:59:21,69.7008,170.3133,-26.52,85,0,1.23
222,Naze,light rain,2021-02-18 03:59:07,28.3667,129.4833,51.8,62,75,21.85
223,Alofi,broken clouds,2021-02-18 03:59:41,-19.0595,-169.9187,86.0,66,78,9.22
224,Lebu,clear sky,2021-02-18 03:59:42,-37.6167,-73.65,54.7,87,0,3.56
225,Saint-Joseph,clear sky,2021-02-18 04:08:35,-21.3667,55.6167,84.2,65,0,3.44
226,Praia Da Vitoria,scattered clouds,2021-02-18 03:59:47,38.7333,-27.0667,57.0,93,40,17.92
227,Sitka,broken clouds,2021-02-18 03:59:17,57.0531,-135.33,41.0,60,75,14.97
228,Leshukonskoye,overcast clouds,2021-02-18 04:08:35,64.8989,45.7622,-12.03,86,100,8.1
229,Grand-Lahou,light rain,2021-02-18 04:08:35,5.1367,-5.0242,77.63,88,84,7.31
230,Tiarei,light rain,2021-02-18 04:08:35,-17.5333,-149.3333,86.0,58,20,9.22
231,Daugai,clear sky,2021-02-18 04:08:35,54.3667,24.3333,3.2,78,0,5.1
232,Fort-Shevchenko,overcast clouds,2021-02-18 04:08:35,44.5086,50.263,21.4,95,100,21.77
233,Trincomalee,broken clouds,2021-02-18 04:08:36,8.5711,81.2335,80.38,72,56,8.75
234,Ekhabi,light snow,2021-02-18 04:08:36,53.5102,142.9671,5.79,94,100,16.96
235,Yenagoa,few clouds,2021-02-18 04:08:36,4.9247,6.2642,76.15,93,11,4.03
236,Luderitz,clear sky,2021-02-18 03:59:53,-26.6481,15.1594,63.5,76,0,15.77
237,Tessalit,broken clouds,2021-02-18 03:59:13,20.1986,1.0114,60.8,26,70,16.8
238,Svetlaya,overcast clouds,2021-02-18 04:08:36,46.5389,138.3297,25.84,88,100,2.84
239,Aripuana,moderate rain,2021-02-18 04:08:36,-9.1667,-60.6333,70.83,99,100,1.54
240,Hervey Bay,few clouds,2021-02-18 04:05:30,-25.2986,152.8535,82.99,64,12,5.99
241,Podgornoye,clear sky,2021-02-18 04:08:36,51.735,39.1496,5.0,85,0,2.24
242,Billings,light snow,2021-02-18 04:08:36,45.7833,-108.5007,18.0,86,90,3.44
243,Mandera,overcast clouds,2021-02-18 04:08:37,3.9366,41.867,72.97,78,93,4.43
244,Marathon,overcast clouds,2021-02-18 04:08:37,44.9,-89.7668,14.0,57,90,4.03
245,Behbahan,overcast clouds,2021-02-18 04:08:37,30.5959,50.2417,55.4,88,90,4.61
246,Shenjiamen,clear sky,2021-02-18 03:59:23,29.9576,122.298,41.52,62,0,19.51
